BSR21002, AVBOB INFORMATION SERVICES - PRODUCTION,11-06-07
.,OMSET SYFERS PER AGENTSKAP VIR TYDPERK VAN,201007,TOT,201105
Agentskap naam,Totale omset,Begrafnisse aantal,Begrafnisse waarde,Grafstene aantal,Grafstene waarde,Kiste aantal,Kiste waarde,Kranse aantal,Kranse waarde,Vars blom aantal,Vars blom waarde,Versekering aantal,Versekering waarde,Komm ontvang aantal,Komm ontvang waarde
Afwyking,56517,-86,-22700,8,83394,-48,-13813,-11,-600,2,10237,0,-5925,28761,16100
Afwyking %,3,-23,-2,67,124,-16,-3,-6,-2,2,17,0,-3,8,37
Doelwit,2180091,403,1429352,13,75605,369,568889,214,39897,109,66348,0,0,0,0
Afwyking,-89792,-108,-90765,7,75293,-108,-74767,-51,-4874,2,5322,88,168982,0,0
Afwyking %,-4,-27,-6,54,100,-29,-13,-24,-12,2,8,0,0,0,0
5,ULUNDI - 235
Huidige jaar,2055611,243,1239743,9,69657,242,704217,63,13294,151,28699,103,142169,380721,86450
Vorige jaar,1611569,213,1065154,15,83524,230,426400,164,28720,122,7770,0,0,307979,52982
Afwyking,444041,30,174589,-6,-13867,12,277817,-101,-15426,29,20929,103,142169,72742,33468
Afwyking %,28,14,16,-40,-17,5,65,-62,-54,24,269,0,0,24,63
Doelwit,1730600,246,1118413,19,93546,267,477570,142,32168,155,8904,0,0,0,0
Afwyking,325011,-3,121331,-10,-23888,-25,226647,-79,-18874,-4,19795,103,142169,0,0
Afwyking %,19,-1,11,-53,-26,-9,47,-56,-59,-3,222,0,0,0,0
6,ERMELO - 52
Huidige jaar,1736521,173,1306066,3,13053,181,319293,145,22883,113,75226,117,183042,265607,122322
Vorige jaar,1398842,151,1098805,1,2277,170,216945,187,29040,83,51775,133,191313,227933,117937
Afwyking,337679,22,207261,2,10776,11,102348,-42,-6157,30,23451,-16,-8271,37674,4385
Afwyking %,24,15,19,200,473,6,47,-22,-21,36,45,-12,-4,17,4
Doelwit,1487715,186,1153746,10,2550,178,242977,247,32524,96,55917,0,0,0,0
Afwyking,248806,-13,152320,-7,10503,3,76316,-102,-9641,17,19309,117,183042,0,0
Afwyking %,17,-7,13,-70,412,2,31,-41,-30,18,35,0,0,0,0
7,STANDERTON - 207
Huidige jaar,684604,70,384176,23,114394,90,165412,64,14422,18,6200,36,67370,114341,22439
Vorige jaar,333453,48,213197,5,13591,52,95656,50,6455,11,4554,48,96632,60965,28291
Afwyking,351151,22,170979,18,100803,38,69756,14,7967,7,1646,-12,-29261,53376,-5851
Afwyking %,105,46,80,360,742,73,73,28,123,64,36,-25,-30,88,-21
Doelwit,358360,70,223857,11,15222,63,107134,98,7230,26,4918,0,0,0,0
Afwyking,326244,0,160319,12,99172,27,58279,-34,7192,-8,1282,36,67370,0,0
Afwyking %,91,0,72,109,652,43,54,-35,99,-31,26,0,0,0,0
8,VREDE - 246 201007
Huidige jaar,7913,0,0,1,7913,0,0,0,0,0,0,0,0,0,0
Vorige jaar,51925,6,28510,1,6831,8,14899,13,1095,3,590,0,0,10200,0
Afwyking,-44012,-6,-28510,0,1082,-8,-14899,-13,-1095,-3,-590,0,0,-10200,0
Afwyking %,-85,-100,-100,0,16,-100,-100,-100,-100,-100,-100,0,0,-100,0
Doelwit,56137,19,29937,6,7651,18,16686,34,1226,5,637,0,0,0,0
Afwyking,-48224,-19,-29937,-5,262,-18,-16686,-34,-1226,-5,-637,0,0,0,0
Afwyking %,-86,-100,-100,-83,3,-100,-100,-100,-100,-100,-100,0,0,0,0
Afwyking %,-86,-100,-100,-83,3,-100,-100,-100,-100,-100,-100,0,0,0,0
Huidige jaar,17094637,1968,11297783,122,705320,2023,4334726,1143,250839,1060,505968,894,1603052,2962006,861193
Vorige jaar,15748650,2182,10608951,109,523056,2102,3927278,1399,229441,994,459923,961,1872872,2683837,906777
Afwyking,1345987,-214,688832,13,182265,-79,407447,-256,21398,66,46045,-67,-269820,278170,-45584
Afwyking %,9,-10,6,12,35,-4,10,-18,9,7,10,-7,-14,10,-5
Doelwit,16877976,2461,11139401,146,585822,2338,4398550,1595,256974,1124,497229,0,0,0,0
Afwyking,216661,-493,158382,-24,119498,-315,-63825,-452,-6135,-64,8740,894,1603052,0,0
Afwyking %,1,-20,1,-16,20,-13,-1,-28,-2,-6,2,0,0,0,0
1,KEMPTON PARK - 125,Opgegradeer 19971998
Huidige jaar,6146527,595,4319725,51,227870,726,1154328,312,55640,312,388964,136,331655,971628,195767
Vorige jaar,574681,628,364235,43,39986,760,173322,158,14754,298,-17616,161,340866,436483,211054
Afwyking,5571846,-33,3955490,8,187883,-34,981006,154,40886,14,406581,-25,-9211,535144,-15286
Afwyking %,970,-5,1086,19,470,-4,566,97,277,5,-2308,-16,-3,123,-7
Doelwit,618853,604,382447,50,44785,737,194121,208,16524,304,-19024,0,0,0,0
Afwyking,5527674,-9,3937278,1,183084,-11,960208,104,39116,8,407989,136,331655,0,0
Afwyking %,893,-1,1029,2,409,-1,495,50,237,3,0,0,0,0,0
2,JOHANNESBURG DIENS - 544,Opgegradeer 19971998
Huidige jaar,5329244,503,3674310,44,283151,588,1263704,152,40376,309,67702,245,544705,908806,251510
Vorige jaar,4796819,567,3371090,59,291021,696,1021277,176,33826,298,79605,162,365036,815726,172489
Afwyking,532425,-64,303221,-15,-7870,-108,242427,-24,6550,11,-11903,83,179669,93080,79021
Afwyking %,11,-11,9,-25,-3,-16,24,-14,19,4,-15,51,49,11,46
Doelwit,5133279,773,3539645,112,325942,863,1143831,238,37887,369,85973,0,0,0,0
Afwyking,195965,-270,134666,-68,-42791,-275,119873,-86,2489,-60,-18272,245,544705,0,0
Afwyking %,4,-35,4,-61,-13,-32,10,-36,7,-16,-21,0,0,0,0
3,ALBERTON - 2
Huidige jaar,5045931,425,3370918,70,355843,624,957254,114,16385,273,345531,262,559787,605942,208794
Vorige jaar,4647380,449,3102548,36,166699,597,1050456,177,26823,258,300854,308,523811,484412,207764
Afwyking,398551,-24,268371,34,189144,27,-93202,-63,-10438,15,44676,-46,35976,121529,1031
Afwyking %,9,-5,9,94,113,5,-9,-36,-39,6,15,-15,7,25,0
Doelwit,4975855,396,3257675,47,186704,581,1176511,125,30042,227,324923,0,0,0,0
Afwyking,70076,29,113243,23,169139,43,-219257,-11,-13657,46,20607,262,559787,0,0
Afwyking %,1,7,3,49,91,7,-19,-9,-45,20,6,0,0,0,0
4,BOKSBURG - 25
Huidige jaar,3212116,231,2334924,22,97060,358,575754,104,28038,168,176340,36,88873,330492,44472
Vorige jaar,3029410,234,2184604,35,118212,353,531901,147,33262,169,161430,55,109875,224437,61169
Afwyking,182706,-3,150320,-13,-21153,5,43853,-43,-5224,-1,14910,-19,-21002,106055,-16697
Afwyking %,6,-1,7,-37,-18,1,8,-29,-16,-1,9,-35,-19,47,-27
Doelwit,3233561,249,2293835,45,132399,391,595729,198,37253,172,174344,0,0,0,0
Afwyking,-21445,-18,41089,-23,-35339,-33,-19975,-94,-9216,-4,1996,36,88873,0,0
Afwyking %,-1,-7,2,-51,-27,-8,-3,-47,-25,-2,1,0,0,0,0
